310;Napoj Mirinda;52;0;0;12.9;100;jedzenie;unconfirmed
311;Napoj Pepsi Cola;42;0;0;10.4;100;jedzenie;unconfirmed
312;Napoj Pepsi Cola light;0.24;0;0;0;100;jedzenie;unconfirmed
313;Napoj Red Bull;45;0;0;11.3;100;jedzenie;unconfirmed
314;Napoj Sprite;42;0;0;10.5;100;jedzenie;unconfirmed
315;Nektar owocowy;63;0.2;0.4;14.6;100;jedzenie;unconfirmed
316;Nektarynka;53;0.9;0.2;11.8;100;jedzenie;unconfirmed
317;Nesquik. kakao. proszek;380;3.5;3;84.3;100;jedzenie;unconfirmed
318;Nestle Corn Flakes. platki kukurydziane;370;7.3;0.8;83.3;100;jedzenie;unconfirmed
319;Nestle Lion. baton;491;7.4;22.7;64.1;100;jedzenie;unconfirmed
320;Nogi wieprzowe;276;23;20.4;0;100;jedzenie;unconfirmed
321;Nutella. krem czekoladowy;533;6.5;31;57;100;jedzenie;unconfirmed
322;Ocet winny;20;0;0;5;100;jedzenie;unconfirmed
323;Ogorek;15;0.7;0.1;2.9;100;jedzenie;unconfirmed
324;Ogorek kiszony;12;0.7;0.2;1.9;100;jedzenie;unconfirmed
325;Olej kukurydziany;900;0;100;0;100;jedzenie;unconfirmed
326;Olej lniany;900;0;100;0;100;jedzenie;unconfirmed
327;Olej rzepakowy;900;0;100;0;100;jedzenie;unconfirmed
328;Olej slonecznikowy;900;0;100;0;100;jedzenie;unconfirmed
329;Olej sojowy;900;0;100;0;100;jedzenie;unconfirmed
330;Oliwa z oliwek;897;0;99.6;0.2;100;jedzenie;unconfirmed
331;Oliwki;147;1.4;13.9;4.1;100;jedzenie;unconfirmed
332;Orzechy arachidowe;595;25.7;46.1;19.2;100;jedzenie;unconfirmed
333;Orzechy laskowe;695;14.4;65.9;11;100;jedzenie;unconfirmed
334;Orzechy nerkowca;638;17;54;24;100;jedzenie;unconfirmed
335;Orzechy pistacjowe;618;20.8;51.6;17.5;100;jedzenie;unconfirmed
336;Orzechy wloskie;679;16;60.3;18;100;jedzenie;unconfirmed
337;Orzeszki ziemne;634;26;53;13.3;100;jedzenie;unconfirmed
338;Ostrygi;85;5;5;5;100;jedzenie;unconfirmed
339;Otreby pszenne;183;16;4.6;61.9;100;jedzenie;unconfirmed
340;Ozory cielece;106;17.1;4.2;0;100;jedzenie;unconfirmed
341;Ozory wieprzowe;166;16.5;11.1;0;100;jedzenie;unconfirmed
342;Paluszki;384;9.9;4.9;75.2;100;jedzenie;unconfirmed
343;Pani Domu. margaryna;360;0;40;0;100;jedzenie;unconfirmed
344;Papaja;43;0.6;0.1;9.8;100;jedzenie;unconfirmed
345;Papryka czerwona;35;1.2;0.3;6.9;100;jedzenie;unconfirmed
346;Papryka konserwowa;37;0.8;1.5;5;100;jedzenie;unconfirmed
347;Paprykarz Szczecinski;181;9.9;11.9;8.6;100;jedzenie;unconfirmed
348;Parowki dla dzieci Morlinki;223;12.4;19.1;0.4;100;jedzenie;unconfirmed
349;Parowki popularne;347;9.5;34.3;0;100;jedzenie;unconfirmed
350;Parowki z kurczaka;262;10.8;22.4;4.2;100;jedzenie;unconfirmed
351;Pasternak;80;1.2;0.3;18;100;jedzenie;unconfirmed
352;Pasztet popularny;405;13.2;38.2;2;100;jedzenie;unconfirmed
353;Pasztet z drobiu;270;9.6;23.8;4.4;100;jedzenie;unconfirmed
354;Paczki;376;6;16;52;100;jedzenie;unconfirmed
355;Pepsi Cola. napoj;42;0;0;10.4;100;jedzenie;unconfirmed
356;Pepsi Cola light. napoj;0.24;0;0;0;100;jedzenie;unconfirmed
